UID,district,block id,cluster id,Student Identifier,school id,subject,class,baseline,1st question Level,1st level score,2nd question Level,2nd level score,3rd question Level,3rd level score,Admin User ID
022724217_1,CHENGALPATTU,5,33030600402,22724217,33030600201,English,3,Malar,Malar,9,,,,,3000135
022724217_3,CHENGALPATTU,5,33030600402,22724217,33030600201,Tamil,3,Malar,Malar,10,,,,,3000135
022860415_1,CHENGALPATTU,7,33030804503,22860415,33030806401,English,3,Malar,Malar,9,,,,,3000150
023043741_2,CHENGALPATTU,9,33031203303,23043741,33031203501,Mathematics,3,Malar,Malar,5,,,,,3000131
023076795_1,CHENGALPATTU,9,33031204206,23076795,33031204207,English,3,Malar,Malar,9,,,,,3000118
023149328_3,CHENGALPATTU,7,33030808705,23149328,33030806002,Tamil,3,Malar,Malar,10,,,,,3000143
023240387_1,CHENGALPATTU,10,33031300702,23240387,33031300601,English,3,Malar,Malar,4,,,,,3000140
023240387_3,CHENGALPATTU,10,33031300702,23240387,33031300601,Tamil,3,Malar,Malar,9,,,,,3000140
023278930_3,CHENGALPATTU,7,33030803101,23278930,33030806101,Tamil,3,Arumbu,Arumbu,5,,,,,3000144
023280759_1,CHENGALPATTU,8,33031004102,23280759,33031004402,English,3,Mottu,Mottu,10,Malar,7,,,3000147
023302742_1,CHENGALPATTU,10,33031302504,23302742,33031301101,English,3,Malar,Malar,8,,,,,3000135
023302742_2,CHENGALPATTU,10,33031302504,23302742,33031301101,Mathematics,3,Malar,Malar,8,,,,,3000135
023393114_1,CHENGALPATTU,7,33030808501,23393114,33030808101,English,3,Malar,Malar,9,,,,,3000147
023441227_1,CHENGALPATTU,7,33030808501,23441227,33030808101,English,3,Malar,Malar,9,,,,,3000147
023511332_1,CHENGALPATTU,7,33030804503,23511332,33030806401,English,3,Malar,Malar,8,,,,,3000150
023564252_3,CHENGALPATTU,10,33031300702,23564252,33031300601,Tamil,3,Malar,Malar,9,,,,,3000140
023666297_1,CHENGALPATTU,10,33031302504,23666297,33031301101,English,3,Malar,Malar,5,,,,,3000135
023694033_3,CHENGALPATTU,11,33031101703,23694033,33031101801,Tamil,3,Malar,Malar,9,,,,,3000149
023820972_1,CHENGALPATTU,8,33031005603,23820972,33031005201,English,3,Malar,Malar,10,,,,,3000143
023821118_2,CHENGALPATTU,10,33031304906,23821118,33031304501,Mathematics,3,Arumbu,Arumbu,10,Mottu,5,,,3000142
023902974_3,CHENGALPATTU,9,33031200804,23902974,33031200601,Tamil,3,Malar,Malar,10,,,,,3000149
023906777_2,CHENGALPATTU,9,33031204104,23906777,33031204101,Mathematics,3,Malar,Malar,8,,,,,3000147
023906777_1,CHENGALPATTU,9,33031204104,23906777,33031204101,English,3,Malar,Malar,8,,,,,3000147
023906862_3,CHENGALPATTU,7,33030808705,23906862,33030806002,Tamil,3,Malar,Malar,7,,,,,3000143
023930787_1,CHENGALPATTU,5,33030600402,23930787,33030600201,English,3,Malar,Malar,10,,,,,3000135
023935522_3,CHENGALPATTU,9,33031200804,23935522,33031200601,Tamil,3,Malar,Malar,10,,,,,3000149
023935522_1,CHENGALPATTU,9,33031200804,23935522,33031200601,English,3,Malar,Malar,10,,,,,3000149
024048465_2,CHENGALPATTU,9,33031204104,24048465,33031204101,Mathematics,3,Malar,Malar,9,,,,,3000147
024052300_1,CHENGALPATTU,9,33031203303,24052300,33031203501,English,3,Malar,Malar,8,,,,,3000131
